Year	113 Cause Name	Cause Name	State	Deaths	Age-adjusted Death Rate
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	California	4294	10.5
2014	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	California	4214	10.5
2015	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	California	4167	10.3
2013	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	California	4025	10.2
2011	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	California	3996	10.4
2010	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	California	3913	10.3
2012	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	California	3893	10
2009	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	California	3823	10.2
2008	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	California	3775	10.3
2007	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	California	3602	9.9
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Texas	3488	12.6
2015	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Texas	3403	12.5
2003	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	California	3397	9.9
2004	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	California	3368	9.7
2006	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	California	3334	9.3
2014	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Texas	3254	12.2
2002	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	California	3228	9.6
2005	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	California	3206	9.1
2015	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Florida	3205	14.4
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Florida	3143	14
1999	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	California	3077	9.6
2013	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Texas	3059	11.7
2012	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Texas	3037	11.9
2014	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Florida	3035	13.9
2012	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Florida	3002	14.4
2000	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	California	2969	9.1
2013	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Florida	2928	13.8
2011	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Texas	2896	11.5
2010	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Texas	2891	11.8
2011	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Florida	2880	13.9
2009	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Florida	2858	14.4
2001	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	California	2831	8.5
2009	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Texas	2809	11.6
2010	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Florida	2789	13.7
2008	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Florida	2740	13.9
